filename,test_number,expected_vul,expected_cwe,semgrep_found_vul,semgrep_cwes,classification
cleaned_BenchmarkTest00001.sarif,00001,True,22,True,"22, 352, 1004",TP
cleaned_BenchmarkTest00002.sarif,00002,True,22,True,"22, 352, 1004",TP
cleaned_BenchmarkTest00003.sarif,00003,True,328,True,"352, 1004",FN_WrongCWE
cleaned_BenchmarkTest00004.sarif,00004,True,501,True,"79, 352, 501, 1004",TP
cleaned_BenchmarkTest00005.sarif,00005,True,327,True,326,FN_WrongCWE
cleaned_BenchmarkTest00006.sarif,00006,True,78,True,78,TP
cleaned_BenchmarkTest00007.sarif,00007,True,78,True,78,TP
cleaned_BenchmarkTest00008.sarif,00008,True,89,True,89,TP
cleaned_BenchmarkTest00009.sarif,00009,False,328,False,,TN
cleaned_BenchmarkTest00010.sarif,00010,False,330,True,352,FP
cleaned_BenchmarkTest00011.sarif,00011,True,22,True,22,TP
cleaned_BenchmarkTest00012.sarif,00012,True,90,True,"79, 90",TP
cleaned_BenchmarkTest00013.sarif,00013,True,79,True,79,TP
cleaned_BenchmarkTest00014.sarif,00014,True,79,True,79,TP
cleaned_BenchmarkTest00015.sarif,00015,True,78,True,78,TP
cleaned_BenchmarkTest00016.sarif,00016,False,614,True,352,FP
cleaned_BenchmarkTest00017.sarif,00017,True,78,True,78,TP
cleaned_BenchmarkTest00018.sarif,00018,True,89,True,89,TP
cleaned_BenchmarkTest00019.sarif,00019,True,327,True,326,FN_WrongCWE
cleaned_BenchmarkTest00020.sarif,00020,True,327,True,326,FN_WrongCWE
cleaned_BenchmarkTest00021.sarif,00021,True,90,True,"79, 90",TP
cleaned_BenchmarkTest00022.sarif,00022,False,328,False,,TN
cleaned_BenchmarkTest00023.sarif,00023,True,330,True,"330, 352",TP
cleaned_BenchmarkTest00024.sarif,00024,True,89,True,89,TP
cleaned_BenchmarkTest00025.sarif,00025,True,89,True,"79, 89",TP
cleaned_BenchmarkTest00026.sarif,00026,True,89,True,89,TP
cleaned_BenchmarkTest00027.sarif,00027,True,89,True,89,TP
cleaned_BenchmarkTest00028.sarif,00028,True,22,True,22,TP
cleaned_BenchmarkTest00029.sarif,00029,True,328,False,,FN_Missed
cleaned_BenchmarkTest00030.sarif,00030,True,79,True,79,TP
cleaned_BenchmarkTest00031.sarif,00031,True,501,True,"79, 501",TP
cleaned_BenchmarkTest00032.sarif,00032,True,89,True,89,TP
cleaned_BenchmarkTest00033.sarif,00033,True,89,True,89,TP
cleaned_BenchmarkTest00034.sarif,00034,True,89,True,89,TP
cleaned_BenchmarkTest00035.sarif,00035,True,327,True,326,FN_WrongCWE
cleaned_BenchmarkTest00036.sarif,00036,True,79,True,79,TP
