# test name,category,real vulnerability,cwe,Benchmark version: 1.2,2016-06-1,Full Category Name
BenchmarkTest00001,pathtraver,True,22,,,Path Traversal
BenchmarkTest00002,pathtraver,True,22,,,Path Traversal
BenchmarkTest00003,hash,True,328,,,Weak Hashing
BenchmarkTest00004,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00005,crypto,True,327,,,Weak Cryptography
BenchmarkTest00006,cmdi,True,78,,,Command Injection
BenchmarkTest00007,cmdi,True,78,,,Command Injection
BenchmarkTest00008,sqli,True,89,,,SQL Injection
BenchmarkTest00009,hash,False,328,,,Weak Hashing
BenchmarkTest00010,weakrand,False,330,,,Weak Randomness
BenchmarkTest00011,pathtraver,True,22,,,Path Traversal
BenchmarkTest00012,ldapi,True,90,,,LDAP Injection
BenchmarkTest00013,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00014,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00015,cmdi,True,78,,,Command Injection
BenchmarkTest00016,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00017,cmdi,True,78,,,Command Injection
BenchmarkTest00018,sqli,True,89,,,SQL Injection
BenchmarkTest00019,crypto,True,327,,,Weak Cryptography
BenchmarkTest00020,crypto,True,327,,,Weak Cryptography
BenchmarkTest00021,ldapi,True,90,,,LDAP Injection
BenchmarkTest00022,hash,False,328,,,Weak Hashing
BenchmarkTest00023,weakrand,True,330,,,Weak Randomness
BenchmarkTest00024,sqli,True,89,,,SQL Injection
BenchmarkTest00025,sqli,True,89,,,SQL Injection
BenchmarkTest00026,sqli,True,89,,,SQL Injection
BenchmarkTest00027,sqli,True,89,,,SQL Injection
BenchmarkTest00028,pathtraver,True,22,,,Path Traversal
BenchmarkTest00029,hash,True,328,,,Weak Hashing
BenchmarkTest00030,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00031,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00032,sqli,True,89,,,SQL Injection
BenchmarkTest00033,sqli,True,89,,,SQL Injection
BenchmarkTest00034,sqli,True,89,,,SQL Injection
BenchmarkTest00035,crypto,True,327,,,Weak Cryptography
BenchmarkTest00036,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00037,sqli,True,89,,,SQL Injection
BenchmarkTest00038,sqli,True,89,,,SQL Injection
BenchmarkTest00039,sqli,True,89,,,SQL Injection
BenchmarkTest00040,pathtraver,True,22,,,Path Traversal
BenchmarkTest00041,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00042,weakrand,False,330,,,Weak Randomness
BenchmarkTest00043,sqli,True,89,,,SQL Injection
BenchmarkTest00044,ldapi,True,90,,,LDAP Injection
BenchmarkTest00045,pathtraver,True,22,,,Path Traversal
BenchmarkTest00046,hash,True,328,,,Weak Hashing
BenchmarkTest00047,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00048,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00049,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00050,crypto,True,327,,,Weak Cryptography
BenchmarkTest00051,cmdi,False,78,,,Command Injection
BenchmarkTest00052,sqli,False,89,,,SQL Injection
BenchmarkTest00053,crypto,True,327,,,Weak Cryptography
BenchmarkTest00054,crypto,False,327,,,Weak Cryptography
BenchmarkTest00055,crypto,True,327,,,Weak Cryptography
BenchmarkTest00056,crypto,True,327,,,Weak Cryptography
BenchmarkTest00057,crypto,True,327,,,Weak Cryptography
BenchmarkTest00058,crypto,False,327,,,Weak Cryptography
BenchmarkTest00059,crypto,False,327,,,Weak Cryptography
BenchmarkTest00060,pathtraver,True,22,,,Path Traversal
BenchmarkTest00061,pathtraver,True,22,,,Path Traversal
BenchmarkTest00062,pathtraver,True,22,,,Path Traversal
BenchmarkTest00063,pathtraver,False,22,,,Path Traversal
BenchmarkTest00064,pathtraver,False,22,,,Path Traversal
BenchmarkTest00065,pathtraver,True,22,,,Path Traversal
BenchmarkTest00066,weakrand,True,330,,,Weak Randomness
BenchmarkTest00067,weakrand,True,330,,,Weak Randomness
BenchmarkTest00068,weakrand,True,330,,,Weak Randomness
BenchmarkTest00069,hash,False,328,,,Weak Hashing
BenchmarkTest00070,hash,True,328,,,Weak Hashing
BenchmarkTest00071,hash,True,328,,,Weak Hashing
BenchmarkTest00072,hash,False,328,,,Weak Hashing
BenchmarkTest00073,hash,True,328,,,Weak Hashing
BenchmarkTest00074,hash,True,328,,,Weak Hashing
BenchmarkTest00075,hash,False,328,,,Weak Hashing
BenchmarkTest00076,hash,False,328,,,Weak Hashing
BenchmarkTest00077,cmdi,True,78,,,Command Injection
BenchmarkTest00078,weakrand,True,330,,,Weak Randomness
BenchmarkTest00079,weakrand,True,330,,,Weak Randomness
BenchmarkTest00080,weakrand,True,330,,,Weak Randomness
